fixture_style_id,generator_style,layer,property,fixture_value,generated_value,unit,delta_generated_minus_fixture,basis
-,FigureCaption,computedPPr,ind.firstLine,0.0,0.0,twips,0.0,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
-,FigureCaption,computedPPr,spacing.after,240.0,240.0,twips,0.0,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
-,FigureCaption,computedPPr,spacing.before,120.0,120.0,twips,0.0,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
-,FigureCaption,computedPPr,spacing.line,1.0,1.0,line240-multiple,0.0,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
-,FigureCaption,computedRPr,sz.val,28.0,28.0,half-points,0.0,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
-,FigureCaption,computedRPr,szCs.val,28.0,28.0,half-points,0.0,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
-1,TableCaption,computedPPr,ind.firstLine,0.0,0.0,twips,0.0,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
-1,TableCaption,computedPPr,spacing.after,120.0,120.0,twips,0.0,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
-1,TableCaption,computedPPr,spacing.before,120.0,120.0,twips,0.0,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
-1,TableCaption,computedPPr,spacing.line,1.0,1.0,line240-multiple,0.0,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
-1,TableCaption,computedRPr,sz.val,28.0,28.0,half-points,0.0,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
-1,TableCaption,computedRPr,szCs.val,28.0,28.0,half-points,0.0,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
1,StoHeading1,computedPPr,ind.firstLine,,709.0,twips,,IMPLEMENTATION: src/shared/config/sto-styles.ts:139-186; normative basis for this exact delta UNIDENTIFIED.
1,StoHeading1,computedPPr,spacing.after,120.0,120.0,twips,0.0,IMPLEMENTATION: src/shared/config/sto-styles.ts:139-186; normative basis for this exact delta UNIDENTIFIED.
1,StoHeading1,computedPPr,spacing.before,,0.0,twips,,IMPLEMENTATION: src/shared/config/sto-styles.ts:139-186; normative basis for this exact delta UNIDENTIFIED.
1,StoHeading1,computedPPr,spacing.line,1.5,1.5,line240-multiple,0.0,IMPLEMENTATION: src/shared/config/sto-styles.ts:139-186; normative basis for this exact delta UNIDENTIFIED.
1,StoHeading1,computedRPr,sz.val,28.0,28.0,half-points,0.0,IMPLEMENTATION: src/shared/config/sto-styles.ts:139-186; normative basis for this exact delta UNIDENTIFIED.
1,StoHeading1,computedRPr,szCs.val,28.0,28.0,half-points,0.0,IMPLEMENTATION: src/shared/config/sto-styles.ts:139-186; normative basis for this exact delta UNIDENTIFIED.
1,StoHeading1,numberingLevelPPr,ind.firstLine,,709.0,twips,,IMPLEMENTATION: src/shared/config/sto-styles.ts:139-186; normative basis for this exact delta UNIDENTIFIED.
1,StoHeading1,numberingLevelPPr,ind.left,,0.0,twips,,IMPLEMENTATION: src/shared/config/sto-styles.ts:139-186; normative basis for this exact delta UNIDENTIFIED.
1-,Normal,computedPPr,ind.firstLine,709.0,709.0,twips,0.0,IMPLEMENTATION: src/shared/config/sto-styles.ts:118-137; normative basis for this exact delta UNIDENTIFIED.
1-,Normal,computedPPr,spacing.after,,0.0,twips,,IMPLEMENTATION: src/shared/config/sto-styles.ts:118-137; normative basis for this exact delta UNIDENTIFIED.
1-,Normal,computedPPr,spacing.before,,0.0,twips,,IMPLEMENTATION: src/shared/config/sto-styles.ts:118-137; normative basis for this exact delta UNIDENTIFIED.
1-,Normal,computedPPr,spacing.line,1.5,1.5,line240-multiple,0.0,IMPLEMENTATION: src/shared/config/sto-styles.ts:118-137; normative basis for this exact delta UNIDENTIFIED.
1-,Normal,computedRPr,sz.val,28.0,28.0,half-points,0.0,IMPLEMENTATION: src/shared/config/sto-styles.ts:118-137; normative basis for this exact delta UNIDENTIFIED.
1-,Normal,computedRPr,szCs.val,28.0,28.0,half-points,0.0,IMPLEMENTATION: src/shared/config/sto-styles.ts:118-137; normative basis for this exact delta UNIDENTIFIED.
13,TOC1,computedPPr,ind.firstLine,,0.0,twips,,IMPLEMENTATION: src/shared/config/sto-styles.ts:78-95; normative basis for this exact delta UNIDENTIFIED.
13,TOC1,computedPPr,ind.left,,0.0,twips,,IMPLEMENTATION: src/shared/config/sto-styles.ts:78-95; normative basis for this exact delta UNIDENTIFIED.
13,TOC1,computedPPr,spacing.after,,0.0,twips,,IMPLEMENTATION: src/shared/config/sto-styles.ts:78-95; normative basis for this exact delta UNIDENTIFIED.
13,TOC1,computedPPr,spacing.before,,0.0,twips,,IMPLEMENTATION: src/shared/config/sto-styles.ts:78-95; normative basis for this exact delta UNIDENTIFIED.
13,TOC1,computedPPr,spacing.line,1.5,1.5,line240-multiple,0.0,IMPLEMENTATION: src/shared/config/sto-styles.ts:78-95; normative basis for this exact delta UNIDENTIFIED.
13,TOC1,computedPPr,tabs.tab.pos,9356.0,9356.0,twips,0.0,IMPLEMENTATION: src/shared/config/sto-styles.ts:78-95; normative basis for this exact delta UNIDENTIFIED.
13,TOC1,computedRPr,sz.val,28.0,28.0,half-points,0.0,IMPLEMENTATION: src/shared/config/sto-styles.ts:78-95; normative basis for this exact delta UNIDENTIFIED.
13,TOC1,computedRPr,szCs.val,28.0,28.0,half-points,0.0,IMPLEMENTATION: src/shared/config/sto-styles.ts:78-95; normative basis for this exact delta UNIDENTIFIED.
2,StoHeading2,computedPPr,ind.firstLine,,709.0,twips,,IMPLEMENTATION: src/shared/config/sto-styles.ts:139-186; normative basis for this exact delta UNIDENTIFIED.
