id,area,source,clause,condition,requirement,status,implementation,evidence,proves,gap,detail
STO-001,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),1.1,Область применения и нормативные ссылки; выбор регламента,"Распространяется на отчёты о НИР обучающихся (ВО обязательно, СПО рекомендательно).",manual,—,—,Тип отчёта/profile выбирает пользователь; область применения не может быть выведена из DOCX.,Нужен выбор применимого учебного регламента/формы.,local-only: sto-matrix.md
STO-002,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),1.2,Область применения и нормативные ссылки; выбор регламента,Устанавливает структуру и правила оформления отчёта.,manual,—,—,Тип отчёта/profile выбирает пользователь; область применения не может быть выведена из DOCX.,Нужен выбор применимого учебного регламента/формы.,local-only: sto-matrix.md
STO-003,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),1.3,Область применения и нормативные ссылки; выбор регламента,Предназначен для обучающихся и работников университета.,manual,—,—,Тип отчёта/profile выбирает пользователь; область применения не может быть выведена из DOCX.,Нужен выбор применимого учебного регламента/формы.,local-only: sto-matrix.md
STO-004,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),2,Область применения и нормативные ссылки; выбор регламента,ГОСТ 2.105: общие требования к текстовым документам.,not applicable,—,—,СТО ссылается на внешний нормативный документ; генератор не доказывает его актуальность/применимость.,Проверка действующей редакции первоисточника и применимости к заданию.,local-only: sto-matrix.md
STO-005,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),2,Область применения и нормативные ссылки; выбор регламента,ГОСТ 2.106: текстовые документы.,not applicable,—,—,СТО ссылается на внешний нормативный документ; генератор не доказывает его актуальность/применимость.,Проверка действующей редакции первоисточника и применимости к заданию.,local-only: sto-matrix.md
STO-006,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),2,Область применения и нормативные ссылки; выбор регламента,ГОСТ 7.0.5: библиографические ссылки.,not applicable,—,—,СТО ссылается на внешний нормативный документ; генератор не доказывает его актуальность/применимость.,Проверка действующей редакции первоисточника и применимости к заданию.,local-only: sto-matrix.md
STO-007,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),2,Область применения и нормативные ссылки; выбор регламента,ГОСТ 7.1: библиографическая запись.,not applicable,—,—,СТО ссылается на внешний нормативный документ; генератор не доказывает его актуальность/применимость.,Проверка действующей редакции первоисточника и применимости к заданию.,local-only: sto-matrix.md
STO-008,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),2,Область применения и нормативные ссылки; выбор регламента,ГОСТ 7.32: отчёт о НИР.,not applicable,—,—,СТО ссылается на внешний нормативный документ; генератор не доказывает его актуальность/применимость.,Проверка действующей редакции первоисточника и применимости к заданию.,local-only: sto-matrix.md
STO-009,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),2,Область применения и нормативные ссылки; выбор регламента,ГОСТ 8.417: единицы величин.,not applicable,—,—,СТО ссылается на внешний нормативный документ; генератор не доказывает его актуальность/применимость.,Проверка действующей редакции первоисточника и применимости к заданию.,local-only: sto-matrix.md
STO-010,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),2,Область применения и нормативные ссылки; выбор регламента,ГОСТ Р 2.105: текстовые документы.,not applicable,—,—,СТО ссылается на внешний нормативный документ; генератор не доказывает его актуальность/применимость.,Проверка действующей редакции первоисточника и применимости к заданию.,local-only: sto-matrix.md
STO-011,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),2,Область применения и нормативные ссылки; выбор регламента,ГОСТ Р 7.0.100: библиографическое описание.,not applicable,—,—,СТО ссылается на внешний нормативный документ; генератор не доказывает его актуальность/применимость.,Проверка действующей редакции первоисточника и применимости к заданию.,local-only: sto-matrix.md
STO-012,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),2,Область применения и нормативные ссылки; выбор регламента,ГОСТ Р 7.0.97: организационно-распорядительные документы.,not applicable,—,—,СТО ссылается на внешний нормативный документ; генератор не доказывает его актуальность/применимость.,Проверка действующей редакции первоисточника и применимости к заданию.,local-only: sto-matrix.md
STO-013,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),3.1,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Формат листа A4 210×297 мм,partial,src/app/builder.ts:123-154,tests/generator/run_generated_docx_validation.ts:123-142,Создаётся один section.,Нет exact проверки w:pgSz A4.,local-only: sto-matrix.md
STO-014,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),3.1,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Печать на одной стороне листа,not applicable,—,—,"Это параметр печати, не DOCX.",Проверка настройки принтера/распечатки.,local-only: sto-matrix.md
STO-015,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),3.2,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Только чёрный текст,partial,src/shared/config/sto-rules.json:17-21,src/shared/lib/sto-validator.ts:669-729,Default style color 000000.,Нет effective run-color проверки.,local-only: sto-matrix.md
