area,implemented,partial,manual,missing,unsupported,not_applicable,other_qualified_statuses,total
STO,6,85,93,23,0,12,0,219
formula,0,15,29,6,0,0,0,50
list,13,12,4,2,2,0,0,33
bibliography,1,19,0,0,26,0,0,46
applicability,1,1,0,0,0,0,5,7
forms,0,6,0,2,0,0,4,12
DOCX import,0,3,0,0,1,0,0,4
template,0,1,0,0,0,0,1,2
referat,0,1,0,0,0,0,2,3
table of contents,0,1,0,1,0,0,2,4
appendices,0,0,0,1,0,0,0,1
placement,0,2,0,0,0,0,3,5
code,1,0,0,0,0,0,7,8
verification,0,0,0,0,0,0,7,7
total,22,146,126,35,29,12,31,401
