id,area,source_page,source_clause,requirement,status,implementation,check_or_missing
F01,formula,1,FORM:5-8,use formula editor,partial,src/shared/lib/math-converter.ts:215-226,no rendered OMML acceptance
F02,formula,1,FORM:9-16,select Math style,manual,src/shared/lib/math-converter.ts:76-105,no style assertion
F03,formula,1,FORM:9-16,select Function style,partial,src/shared/lib/source-preflight/formula-checker.ts:33-60,syntax only
F04,formula,1,FORM:9-16,select Variable style,manual,src/shared/lib/math-converter.ts:117-120,no italic assertion
F05,formula,1,FORM:9-16,select Greek-Symbol style,manual,src/shared/lib/math-converter.ts:117-120,no Greek style assertion
F06,formula,1,FORM:9-16,select Vector-Matrix style,missing,src/shared/lib/math-converter.ts:76-200,no policy
F07,formula,1,FORM:9-16,select Text style for text fragment,manual,src/features/markdown-parser/lib/parser/handlers/math-handler.ts:42-44,fallback is not semantic Text style
F08,formula,1,FORM:20,digits upright,manual,src/shared/lib/math-converter.ts:117-120,no OMML run property test
F09,formula,1,FORM:21-23,decimal separator comma,partial,src/shared/lib/source-preflight/formula-checker.ts:321-370,no decimal semantic test
F10,formula,1,FORM:24-26,Latin variable italic,manual,src/shared/lib/math-converter.ts:117-120,no style test
F11,formula,1,FORM:24-26,unit letter italic,manual,src/shared/lib/math-converter.ts:117-120,no style test
F12,formula,1,FORM:27-28,uppercase Greek upright,manual,src/shared/lib/math-converter.ts:117-120,no style test
F13,formula,1,FORM:28-29,lowercase Greek italic,manual,src/shared/lib/math-converter.ts:117-120,no style test
F14,formula,1,FORM:32,lowercase vector upright bold,missing,src/shared/lib/math-converter.ts:76-200,no vector detection/style
F15,formula,1,FORM:33,uppercase matrix upright bold,missing,src/shared/lib/math-converter.ts:76-200,no matrix detection/style
F16,formula,1,FORM:34,ordinary function upright,partial,src/shared/lib/source-preflight/formula-checker.ts:33-60,no output-style test
F17,formula,1,FORM:35,trigonometric function upright,partial,src/shared/lib/source-preflight/formula-checker.ts:33-60,no output-style test
F18,formula,1,FORM:36,temperature unit upright,missing,src/shared/lib/math-converter.ts:117-120,no unit policy
F19,formula,1,FORM:37,chemical element upright,missing,src/shared/lib/math-converter.ts:117-120,no chemistry policy
