logical_source_id,public_source_identity
local-source-01,Local source-corpus inventory
local-source-02,Local NIR report form
local-source-03,Local NIR review form
local-source-04,Local NIR plan form
local-source-05,Local methodical material: lists and bibliography
local-source-06,Local NIR report example
local-source-07,СТО 02068410-004-2018 (edition 2019; local copy not published)
local-source-08,Local methodical material: lists and bibliography
local-source-09,Local NIR statement form
local-source-10,ГОСТ Р 7.0.5-2008 (local copy not published)
local-source-11,ГОСТ Р 7.0.100-2018 (local copy not published)
local-source-12,ГОСТ Р 7.0.108-2022 (local copy not published)
local-source-13,Local lecture material: bibliography
local-source-14,Local qualification-work formatting guide
local-source-15,Editorial handbook excerpt: lists
local-source-16,Qualification-work visual examples (23 PDF pages)
local-source-17,Laboratory report example (DOCX)
local-source-18,Laboratory report example (PDF)
local-source-19,Local methodical material: formula typesetting
local-source-20,Local methodical material: lists and bibliography
local-source-21,Local academic-text formatting instruction
local-source-22,Local laboratory-work formatting instruction
local-source-23,Local laboratory-work formatting instruction
local-source-24,Presentation example (PPTX)
local-source-25,Local referat example
local-source-26,Local DOTM template (semantics audited; file omitted)
local-source-27,СТО 02068410-004-2018 (edition 2019; local copy not published)
local-source-28,Lecture outline: academic document formatting
local-source-29,Lecture: presentation and oral report
