fixture_style_id,generator_style,layer,property,fixture_value,generated_value,basis
-,FigureCaption,computedPPr,suppressAutoHyphens,True,,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
-,FigureCaption,computedRPr,color.val,,000000,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
-,FigureCaption,computedRPr,lang.bidi,ar-SA,,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
-,FigureCaption,computedRPr,lang.eastAsia,ru-RU,,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
-,FigureCaption,computedRPr,rFonts.eastAsiaTheme,minorEastAsia,,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
-1,TableCaption,computedPPr,suppressAutoHyphens,True,,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
-1,TableCaption,computedRPr,color.val,,000000,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
-1,TableCaption,computedRPr,lang.bidi,ar-SA,,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
-1,TableCaption,computedRPr,lang.eastAsia,ru-RU,,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
-1,TableCaption,computedRPr,rFonts.eastAsiaTheme,minorEastAsia,,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
1,StoHeading1,computedPPr,ind.firstLine,,709,IMPLEMENTATION: src/shared/config/sto-styles.ts:139-186; normative basis for this exact delta UNIDENTIFIED.
1,StoHeading1,computedPPr,jc.val,,left,IMPLEMENTATION: src/shared/config/sto-styles.ts:139-186; normative basis for this exact delta UNIDENTIFIED.
1,StoHeading1,computedPPr,numPr.children,"[{""name"":""numId"",""attrs"":{""val"":""32""}}]","[{""name"":""ilvl"",""attrs"":{""val"":""0""}},{""name"":""numId"",""attrs"":{""val"":""5""}}]",IMPLEMENTATION ADAPTATION: generator-owned numbering; src/shared/config/sto-styles.ts:288-341.
1,StoHeading1,computedPPr,pStyle.val,,ListParagraph,IMPLEMENTATION: src/shared/config/sto-styles.ts:139-186; normative basis for this exact delta UNIDENTIFIED.
1,StoHeading1,computedPPr,spacing.before,,0,IMPLEMENTATION: src/shared/config/sto-styles.ts:139-186; normative basis for this exact delta UNIDENTIFIED.
1,StoHeading1,computedPPr,suppressAutoHyphens,True,,IMPLEMENTATION: src/shared/config/sto-styles.ts:139-186; normative basis for this exact delta UNIDENTIFIED.
1,StoHeading1,computedRPr,bCs,,True,IMPLEMENTATION: src/shared/config/sto-styles.ts:139-186; normative basis for this exact delta UNIDENTIFIED.
1,StoHeading1,computedRPr,color.val,,000000,IMPLEMENTATION: src/shared/config/sto-styles.ts:139-186; normative basis for this exact delta UNIDENTIFIED.
1,StoHeading1,computedRPr,lang.bidi,ar-SA,,IMPLEMENTATION: src/shared/config/sto-styles.ts:139-186; normative basis for this exact delta UNIDENTIFIED.
1,StoHeading1,computedRPr,lang.eastAsia,ru-RU,,IMPLEMENTATION: src/shared/config/sto-styles.ts:139-186; normative basis for this exact delta UNIDENTIFIED.
1,StoHeading1,computedRPr,rFonts.eastAsiaTheme,minorEastAsia,,IMPLEMENTATION: src/shared/config/sto-styles.ts:139-186; normative basis for this exact delta UNIDENTIFIED.
1,StoHeading1,numberingLevelPPr,ind.firstLine,,709,IMPLEMENTATION: src/shared/config/sto-styles.ts:139-186; normative basis for this exact delta UNIDENTIFIED.
1,StoHeading1,numberingLevelPPr,ind.left,,0,IMPLEMENTATION: src/shared/config/sto-styles.ts:139-186; normative basis for this exact delta UNIDENTIFIED.
1-,Normal,computedPPr,spacing.after,,0,IMPLEMENTATION: src/shared/config/sto-styles.ts:118-137; normative basis for this exact delta UNIDENTIFIED.
1-,Normal,computedPPr,spacing.before,,0,IMPLEMENTATION: src/shared/config/sto-styles.ts:118-137; normative basis for this exact delta UNIDENTIFIED.
1-,Normal,computedRPr,color.val,,000000,IMPLEMENTATION: src/shared/config/sto-styles.ts:118-137; normative basis for this exact delta UNIDENTIFIED.
1-,Normal,computedRPr,lang.bidi,ar-SA,,IMPLEMENTATION: src/shared/config/sto-styles.ts:118-137; normative basis for this exact delta UNIDENTIFIED.
1-,Normal,computedRPr,lang.eastAsia,ru-RU,,IMPLEMENTATION: src/shared/config/sto-styles.ts:118-137; normative basis for this exact delta UNIDENTIFIED.
1-,Normal,computedRPr,rFonts.eastAsiaTheme,minorEastAsia,,IMPLEMENTATION: src/shared/config/sto-styles.ts:118-137; normative basis for this exact delta UNIDENTIFIED.
13,TOC1,computedPPr,ind.firstLine,,0,IMPLEMENTATION: src/shared/config/sto-styles.ts:78-95; normative basis for this exact delta UNIDENTIFIED.
13,TOC1,computedPPr,ind.left,,0,IMPLEMENTATION: src/shared/config/sto-styles.ts:78-95; normative basis for this exact delta UNIDENTIFIED.
13,TOC1,computedPPr,jc.val,,left,IMPLEMENTATION: src/shared/config/sto-styles.ts:78-95; normative basis for this exact delta UNIDENTIFIED.
13,TOC1,computedPPr,spacing.after,,0,IMPLEMENTATION: src/shared/config/sto-styles.ts:78-95; normative basis for this exact delta UNIDENTIFIED.
13,TOC1,computedPPr,spacing.before,,0,IMPLEMENTATION: src/shared/config/sto-styles.ts:78-95; normative basis for this exact delta UNIDENTIFIED.
13,TOC1,computedPPr,tabs.children,"[{""name"":""tab"",""attrs"":{""val"":""right"",""leader"":""dot"",""pos"":""9356""}}]","[{""name"":""tab"",""attrs"":{""val"":""right"",""pos"":""9356"",""leader"":""dot""}}]",IMPLEMENTATION: src/shared/config/sto-styles.ts:78-95; normative basis for this exact delta UNIDENTIFIED.
13,TOC1,computedRPr,color.val,,000000,IMPLEMENTATION: src/shared/config/sto-styles.ts:78-95; normative basis for this exact delta UNIDENTIFIED.
13,TOC1,computedRPr,lang.bidi,ar-SA,,IMPLEMENTATION: src/shared/config/sto-styles.ts:78-95; normative basis for this exact delta UNIDENTIFIED.
13,TOC1,computedRPr,lang.eastAsia,en-US,,IMPLEMENTATION: src/shared/config/sto-styles.ts:78-95; normative basis for this exact delta UNIDENTIFIED.
